Link,Categories,Descriptions,Instructor_full,Level,Modules,Name,NumEnrolled,NumReviews,Price,Provider_full,ReviewsURL,Skills,Stars,Duration,InstructorName,ProviderName,MasterCategories,Source,string,Keywords
https://www.coursera.org/learn/foundations-of-cybersecurity,Computer Security and Networks,"Recognize core skills and knowledge needed to become a cybersecurity analyst,Identify how security attacks impact business operations,Explain security ethics,Identify common tools used by cybersecurity analysts","{'instructor_link': 'https://www.coursera.org/instructor/google-career-certificates',
 'instructor_name': 'Google Career Certificates'}",Beginner,"[{'module_number': 0, 'module_name': 'Welcome to the exciting world of cybersecurity', 'module_duration': '4 hours', 'module_num_video': '10 videos', 'module_num_quizz': '3 quizzes', 'module_num_reading': '7 readings'}, {'module_number': 1, 'module_name': 'The evolution of cybersecurity', 'module_duration': '3 hours', 'module_num_video': '7 videos', 'module_num_quizz': '3 quizzes', 'module_num_reading': '4 readings'}, {'module_number': 2, 'module_name': 'Protect against threats, risks, and vulnerabilities', 'module_duration': '2 hours', 'module_num_video': '7 videos', 'module_num_quizz': '3 quizzes', 'module_num_reading': '3 readings'}, {'module_number': 3, 'module_name': 'Cybersecurity tools and programming languages', 'module_duration': '4 hours', 'module_num_video': '5 videos', 'module_num_quizz': '4 quizzes', 'module_num_reading': '7 readings'}]",Foundations of Cybersecurity,"322,519","9,523",29,"{'provider_link': 'https://www.coursera.org/google', 'provider_name': 'Google'}",https://www.coursera.org/learn/foundations-of-cybersecurity/reviews,"Information Security (INFOSEC),Cybersecurity,Historical Attacks,Ethics in cybersecurity,NIST Cybersecurity Framework (CSF)",4.9,14,Google Career Certificates,Google,IT & Computer Science,Coursera,"Foundations of Cybersecurity Recognize core skill and knowledge need to become a cybersecurity analyst , identify how security attack impact business operation , explain security ethic , identify common tool use by cybersecurity analyst","cybersecurity, analyst, foundations, core, operation, impact, need, ethic, common, recognize, IT & Computer Science, Computer Security and Networks, Information Security (INFOSEC),Cybersecurity,Historical Attacks,Ethics in cybersecurity,NIST Cybersecurity Framework (CSF)"
https://www.coursera.org/learn/machine-learning,Machine Learning,"Build machine learning models in Python using popular machine learning libraries NumPy & scikit-learn,Build & train supervised machine learning models for prediction & binary classification tasks, including linear regression & logistic regression","{'instructor_link': 'https://www.coursera.org/instructor/andrewng',
 'instructor_name': 'Andrew Ng'}",Beginner,"[{'module_number': 0, 'module_name': 'Week 1: Introduction to Machine Learning', 'module_duration': '3 hours', 'module_num_video': '20 videos', 'module_num_quizz': '3 quizzes', 'module_num_reading': None}, {'module_number': 1, 'module_name': 'Week 2: Regression with multiple input variables', 'module_duration': '4 hours', 'module_num_video': '10 videos', 'module_num_quizz': '2 quizzes', 'module_num_reading': None}, {'module_number': 2, 'module_name': 'Week 3: Classification', 'module_duration': '7 hours', 'module_num_video': '12 videos', 'module_num_quizz': '4 quizzes', 'module_num_reading': None}]",Supervised Machine Learning: Regression and Classification ,"446,888","13,991",49,"{'provider_link': 'https://www.coursera.org/deeplearning-ai',
 'provider_name': 'DeepLearning.AI'}",https://www.coursera.org/learn/machine-learning/reviews,"Regularization to Avoid Overfitting,Gradient Descent,Supervised Learning,Linear Regression,Logistic Regression for Classification",4.9,15,Andrew Ng,DeepLearning.AI,Data Science,Coursera,"supervised Machine Learning : regression and Classification   Build machine learning model in Python use popular machine learning librarie NumPy & scikit - learn , Build & train supervise machine learning model for prediction & binary classification task , include linear regression & logistic regression","python, logistic, prediction, machine, supervise, train, linear, popular, include, librarie, Data Science, Machine Learning, Regularization to Avoid Overfitting,Gradient Descent,Supervised Learning,Linear Regression,Logistic Regression for Classification"
https://www.coursera.org/learn/generative-ai-with-llms,Algorithms,"Gain foundational knowledge, practical skills, and a functional understanding of how generative AI works,Dive into the latest research on Gen AI to understand how companies are creating value with cutting-edge technology,Instruction from expert AWS AI practitioners who actively build and deploy AI in business use-cases today","{'instructor_link': 'https://www.coursera.org/instructor/antje-barth',
 'instructor_name': 'Antje Barth'}",Intermediate,"[{'module_number': 0, 'module_name': 'Week 1', 'module_duration': '5 hours', 'module_num_video': '17 videos', 'module_num_quizz': None, 'module_num_reading': '5 readings'}, {'module_number': 1, 'module_name': 'Week 2', 'module_duration': '4 hours', 'module_num_video': '10 videos', 'module_num_quizz': None, 'module_num_reading': '3 readings'}, {'module_number': 2, 'module_name': 'Week 3', 'module_duration': '6 hours', 'module_num_video': '21 videos', 'module_num_quizz': None, 'module_num_reading': '6 readings'}]",Generative AI with Large Language Models,"117,735","1,019",49,"{'provider_link': 'https://www.coursera.org/deeplearning-ai',
 'provider_name': 'DeepLearning.AI'}",https://www.coursera.org/learn/generative-ai-with-llms/reviews,"Generative AI,LLMs,large language models,Machine Learning,Python Programming",4.8,16,Antje Barth,DeepLearning.AI,IT & Computer Science,Coursera,"Generative AI with large Language Models gain foundational knowledge , practical skill , and a functional understanding of how generative AI work , dive into the late research on Gen AI to understand how company be create value with cutting - edge technology , instruction from expert AWS AI practitioner who actively build and deploy AI in business use - case today","ai, create, gen, aws, deploy, foundational, practical, large, dive, today, IT & Computer Science, Algorithms, Generative AI,LLMs,large language models,Machine Learning,Python Programming"
https://www.coursera.org/learn/ai-for-everyone,Business Strategy,"AI is not only for engineers. If you want your organization to become better at using AI, this is the course to tell everyone--especially your non-technical colleagues--to take.,In this course, you will learn:

- The meaning behind common AI terminology, including neural networks, machine learning, deep learning, and data science
- What AI realistically can--and cannot--do
- How to spot opportunities to apply AI to problems in your own organization
- What it feels like to build machine learning and data science projects
- How to work with an AI team and build an AI strategy in your company
- How to navigate ethical and societal discussions surrounding AI

Though this course is largely non-technical, engineers can also take this course to learn the business aspects of AI.","{'instructor_link': 'https://www.coursera.org/instructor/andrewng',
 'instructor_name': 'Andrew Ng'}",Beginner,"[{'module_number': 0, 'module_name': 'What is AI?', 'module_duration': '2 hours', 'module_num_video': '9 videos', 'module_num_quizz': None, 'module_num_reading': None}, {'module_number': 1, 'module_name': 'Building AI Projects', 'module_duration': '2 hours', 'module_num_video': '8 videos', 'module_num_quizz': None, 'module_num_reading': None}, {'module_number': 2, 'module_name': 'Building AI In Your Company', 'module_duration': '3 hours', 'module_num_video': '10 videos', 'module_num_quizz': None, 'module_num_reading': None}, {'module_number': 3, 'module_name': 'AI and Society', 'module_duration': '2 hours', 'module_num_video': '8 videos', 'module_num_quizz': None, 'module_num_reading': None}]",AI For Everyone,"1,071,429","39,107",49,"{'provider_link': 'https://www.coursera.org/deeplearning-ai',
 'provider_name': 'DeepLearning.AI'}",https://www.coursera.org/learn/ai-for-everyone/reviews,"Workflow of Machine Learning projects,AI terminology,AI strategy,Workflow of Data Science projects",4.8,10,Andrew Ng,DeepLearning.AI,Business & Management,Coursera,"AI for Everyone AI be not only for engineer . if you want your organization to become well at use AI , this be the course to tell everyone -- especially your non - technical colleague -- to take . ,In this course , you will learn : 

 - the meaning behind common AI terminology , include neural network , machine learning , deep learning , and datum science 
 - what AI realistically can -- and cannot -- do 
 - how to spot opportunity to apply AI to problem in your own organization 
 - what it feel like to build machine learning and datum science project 
 - how to work with an AI team and build an AI strategy in your company 
 - how to navigate ethical and societal discussion surround AI 

 though this course be largely non - technical , engineer can also take this course to learn the business aspect of AI .","ai, build, societal, navigate, tell, apply, meaning, common, surround, realistically, Business & Management, Business Strategy, Workflow of Machine Learning projects,AI terminology,AI strategy,Workflow of Data Science projects"
https://www.coursera.org/learn/project-management-foundations,Leadership and Management,"Describe project management skills, roles, and responsibilities across a variety of industries,Explain the project management life cycle and compare different program management methodologies,Define organizational structure and organizational culture and explain how it impacts project management.","{'instructor_link': 'https://www.coursera.org/instructor/google-career-certificates',
 'instructor_name': 'Google Career Certificates'}",Beginner,"[{'module_number': 0, 'module_name': 'Embarking on a career in project management', 'module_duration': '3 hours', 'module_num_video': '10 videos', 'module_num_quizz': '2 quizzes', 'module_num_reading': '5 readings'}, {'module_number': 1, 'module_name': 'Becoming an effective project manager', 'module_duration': '5 hours', 'module_num_video': '11 videos', 'module_num_quizz': '6 quizzes', 'module_num_reading': '5 readings'}, {'module_number': 2, 'module_name': 'The project management life cycle and methodologies', 'module_duration': '4 hours', 'module_num_video': '8 videos', 'module_num_quizz': '3 quizzes', 'module_num_reading': '5 readings'}, {'module_number': 3, 'module_name': 'Organizational structure and culture', 'module_duration': '4 hours', 'module_num_video': '10 videos', 'module_num_quizz': '4 quizzes', 'module_num_reading': '9 readings'}]",Foundations of Project Management,"1,476,878","71,533",29,"{'provider_link': 'https://www.coursera.org/google', 'provider_name': 'Google'}",https://www.coursera.org/learn/project-management-foundations/reviews,"Organizational Culture,Career Development,Strategic Thinking,Change Management,Project Management",4.9,18,Google Career Certificates,Google,Business & Management,Coursera,"Foundations of Project Management Describe project management skill , role , and responsibility across a variety of industry , explain the project management life cycle and compare different program management methodology , define organizational structure and organizational culture and explain how it impact project management .","management, project, foundations, impact, define, skill, variety, life, cycle, different, Business & Management, Leadership and Management, Organizational Culture,Career Development,Strategic Thinking,Change Management,Project Management"
https://www.coursera.org/learn/technical-support-fundamentals,Support and Operations,"This course is the first of a series that aims to prepare you for a role as an entry-level IT Support Specialist. In this course, you’ll be introduced to the world of Information Technology, or IT. You’ll learn about the different facets of Information Technology, like computer hardware, the Internet, computer software, troubleshooting, and customer service. This course covers a wide variety of topics in IT that are designed to give you an overview of what’s to come in this certificate program.,By the end of this course, you’ll be able to:
● understand how the binary system works
● assemble a computer from scratch
● choose and install an operating system on a computer
● understand what the Internet is, how it works, and the impact it has in the modern world
● learn how applications are created and how they work under the hood of a computer
● utilize common problem-solving methodologies and soft skills in an Information Technology setting","{'instructor_link': 'https://www.coursera.org/instructor/google-career-certificates',
 'instructor_name': 'Google Career Certificates'}",Beginner,"[{'module_number': 0, 'module_name': 'Introduction to IT ', 'module_duration': '3 hours', 'module_num_video': '14 videos', 'module_num_quizz': '3 quizzes', 'module_num_reading': '8 readings'}, {'module_number': 1, 'module_name': 'Hardware', 'module_duration': '4 hours', 'module_num_video': '19 videos', 'module_num_quizz': '4 quizzes', 'module_num_reading': '10 readings'}, {'module_number': 2, 'module_name': 'Operating System', 'module_duration': '4 hours', 'module_num_video': '19 videos', 'module_num_quizz': '2 quizzes', 'module_num_reading': '9 readings'}, {'module_number': 3, 'module_name': 'Networking', 'module_duration': '2 hours', 'module_num_video': '15 videos', 'module_num_quizz': '2 quizzes', 'module_num_reading': '2 readings'}, {'module_number': 4, 'module_name': 'Software', 'module_duration': '3 hours', 'module_num_video': '10 videos', 'module_num_quizz': '2 quizzes', 'module_num_reading': '3 readings'}, {'module_number': 5, 'module_name': 'Troubleshooting', 'module_duration': '2 hours', 'module_num_video': '23 videos', 'module_num_quizz': '2 quizzes', 'module_num_reading': '4 readings'}]",Technical Support Fundamentals,"1,598,052","143,975",29,"{'provider_link': 'https://www.coursera.org/google', 'provider_name': 'Google'}",https://www.coursera.org/learn/technical-support-fundamentals/reviews,"Binary Code,Customer Support,Linux,Troubleshooting",4.8,21,Google Career Certificates,Google,Information Technology,Coursera,"Technical Support fundamental this course be the first of a series that aim to prepare you for a role as an entry - level IT Support Specialist . in this course , you ’ll be introduce to the world of Information Technology , or IT . you ’ll learn about the different facet of Information Technology , like computer hardware , the internet , computer software , troubleshooting , and customer service . this course cover a wide variety of topic in it that be design to give you an overview of what ’ to come in this certificate program . ,By the end of this course , you ’ll be able to : 
 ● understand how the binary system works 
 ● assemble a computer from scratch 
 ● choose and install an operate system on a computer 
 ● understand what the internet be , how it work , and the impact it have in the modern world 
 ● learn how application be create and how they work under the hood of a computer 
 ● utilize common problem - solve methodology and soft skill in an Information Technology set","technical, certificate, binary, topic, install, role, introduce, solve, scratch, different, Information Technology, Support and Operations, Binary Code,Customer Support,Linux,Troubleshooting"
https://www.coursera.org/learn/foundations-data,Data Analysis & Statistics,"Define and explain key concepts involved in data analytics including data, data analysis, and data ecosystem,Conduct an analytical thinking self assessment giving specific examples of the application of analytical thinking,Discuss the role of spreadsheets, query languages, and data visualization tools in data analytics,Describe the role of a data analyst with specific reference to jobs/positions","{'instructor_link': 'https://www.coursera.org/instructor/google-career-certificates',
 'instructor_name': 'Google Career Certificates'}",Beginner,"[{'module_number': 0, 'module_name': 'Introducing data analytics', 'module_duration': '6 hours', 'module_num_video': '7 videos', 'module_num_quizz': '4 quizzes', 'module_num_reading': '13 readings'}, {'module_number': 1, 'module_name': 'All about analytical thinking', 'module_duration': '2 hours', 'module_num_video': '6 videos', 'module_num_quizz': '4 quizzes', 'module_num_reading': '3 readings'}, {'module_number': 2, 'module_name': 'The wonderful world of data', 'module_duration': '3 hours', 'module_num_video': '5 videos', 'module_num_quizz': '6 quizzes', 'module_num_reading': '6 readings'}, {'module_number': 3, 'module_name': 'Set up your toolbox', 'module_duration': '4 hours', 'module_num_video': '6 videos', 'module_num_quizz': '5 quizzes', 'module_num_reading': '5 readings'}, {'module_number': 4, 'module_name': 'Endless career possibilities', 'module_duration': '4 hours', 'module_num_video': '12 videos', 'module_num_quizz': '5 quizzes', 'module_num_reading': '6 readings'}]","Foundations: Data, Data, Everywhere","2,126,709","91,318",29,"{'provider_link': 'https://www.coursera.org/google', 'provider_name': 'Google'}",https://www.coursera.org/learn/foundations-data/reviews,"Spreadsheet,Data Cleansing,Data Analysis,Data Visualization (DataViz),SQL",4.8,22,Google Career Certificates,Google,Data Science,Coursera,"foundation : Data , Data , Everywhere Define and explain key concept involve in data analytic include datum , data analysis , and datum ecosystem , conduct an analytical thinking self assessment give specific example of the application of analytical thinking , discuss the role of spreadsheet , query language , and datum visualization tool in data analytic , describe the role of a data analyst with specific reference to job / position","analytical, data, assessment, foundation, application, define, ecosystem, involve, key, position, Data Science, Data Analysis & Statistics, Spreadsheet,Data Cleansing,Data Analysis,Data Visualization (DataViz),SQL"
https://www.coursera.org/learn/prompt-engineering,Machine Learning,"How to apply prompt engineering to effectively work with large language models, like ChatGPT,How to use prompt patterns to tap into powerful capabilities within large language models,How to create complex prompt-based applications for your life, business, or education","{'instructor_link': 'https://www.coursera.org/instructor/juleswhite',
 'instructor_name': 'Dr. Jules White'}",Beginner,"[{'module_number': 0, 'module_name': 'Course Introduction', 'module_duration': None, 'module_num_video': '6 videos', 'module_num_quizz': None, 'module_num_reading': None}, {'module_number': 1, 'module_name': 'Introduction to Prompts', 'module_duration': '4 hours', 'module_num_video': '9 videos', 'module_num_quizz': None, 'module_num_reading': '5 readings'}, {'module_number': 2, 'module_name': 'Prompt Patterns I', 'module_duration': '2 hours', 'module_num_video': '4 videos', 'module_num_quizz': None, 'module_num_reading': '4 readings'}, {'module_number': 3, 'module_name': 'Few-Shot Examples', 'module_duration': '2 hours', 'module_num_video': '7 videos', 'module_num_quizz': None, 'module_num_reading': '2 readings'}, {'module_number': 4, 'module_name': 'Prompt Patterns II', 'module_duration': '2 hours', 'module_num_video': '5 videos', 'module_num_quizz': None, 'module_num_reading': '5 readings'}, {'module_number': 5, 'module_name': 'Prompt Patterns III', 'module_duration': '5 hours', 'module_num_video': '8 videos', 'module_num_quizz': None, 'module_num_reading': '7 readings'}]",Prompt Engineering for ChatGPT,"158,448","1,337",49,"{'provider_link': 'https://www.coursera.org/vanderbilt',
 'provider_name': 'Vanderbilt University'}",https://www.coursera.org/learn/prompt-engineering/reviews,"prompt engineering,prompt patterns,large language models,ChatGPT,chain of thought prompting",4.8,18,Dr. Jules White,Vanderbilt University,Data Science,Coursera,"Prompt Engineering for ChatGPT how to apply prompt engineering to effectively work with large language model , like chatgpt , how to use prompt pattern to tap into powerful capability within large language model , how to create complex prompt - base application for your life , business , or education","prompt, chatgpt, application, engineering, capability, pattern, large, tap, like, base, Data Science, Machine Learning, prompt engineering,prompt patterns,large language models,ChatGPT,chain of thought prompting"
https://www.coursera.org/learn/foundations-user-experience-design,Design and Product,"Identify common job responsibilities of entry-level UX designers and other teams you might work with.,Understand foundational concepts in UX design, such as user-centered design, the design process, accessibility, and equity-focused design.,Explain why design sprints are an important and useful part of a UX designer’s work.","{'instructor_link': 'https://www.coursera.org/instructor/google-career-certificates',
 'instructor_name': 'Google Career Certificates'}",Beginner,"[{'module_number': 0, 'module_name': 'Introducing user experience design ', 'module_duration': '7 hours', 'module_num_video': '18 videos', 'module_num_quizz': '4 quizzes', 'module_num_reading': '13 readings'}, {'module_number': 1, 'module_name': 'Thinking like a UX designer', 'module_duration': '2 hours', 'module_num_video': '9 videos', 'module_num_quizz': '3 quizzes', 'module_num_reading': '5 readings'}, {'module_number': 2, 'module_name': 'Joining design sprints ', 'module_duration': '3 hours', 'module_num_video': '10 videos', 'module_num_quizz': '6 quizzes', 'module_num_reading': '3 readings'}, {'module_number': 3, 'module_name': 'Integrating research into the design process', 'module_duration': '4 hours', 'module_num_video': '10 videos', 'module_num_quizz': '4 quizzes', 'module_num_reading': '6 readings'}]",Foundations of User Experience (UX) Design,"1,055,087","58,743",29,"{'provider_link': 'https://www.coursera.org/google', 'provider_name': 'Google'}",https://www.coursera.org/learn/foundations-user-experience-design/reviews,"User Experience (UX),UX Research,Wireframe,Prototype,User Experience Design (UXD)",4.8,18,Google Career Certificates,Google,IT & Computer Science,Coursera,"foundation of User Experience ( UX ) Design identify common job responsibility of entry - level UX designer and other team you might work with . ,Understand foundational concept in UX design , such as user - center design , the design process , accessibility , and equity - focus design . ,Explain why design sprint be an important and useful part of a UX designer ’s work .","design, ux, foundational, experience, sprint, user, focus, important, equity, common, IT & Computer Science, Design and Product, User Experience (UX),UX Research,Wireframe,Prototype,User Experience Design (UXD)"
https://www.coursera.org/learn/indigenous-canada,History,"Indigenous Canada is a 12-lesson Massive Open Online Course (MOOC) from the Faculty of Native Studies that explores the different histories and contemporary perspectives of Indigenous peoples living in Canada. From an Indigenous perspective, this course explores complex experiences Indigenous peoples face today from a historical and critical perspective highlighting national and local Indigenous-settler relations. Topics for the 12 lessons include the fur trade and other exchange relationships, land claims and environmental impacts, legal systems and rights, political conflicts and alliances, Indigenous political activism, and contemporary Indigenous life, art and its expressions.","{'instructor_link': 'https://www.coursera.org/instructor/gareau',
 'instructor_name': 'Dr. Paul L. Gareau'}",,"[{'module_number': 0, 'module_name': 'Worldview', 'module_duration': None, 'module_num_video': '4 videos', 'module_num_quizz': None, 'module_num_reading': '2 readings'}, {'module_number': 1, 'module_name': 'Fur Trade', 'module_duration': '2 hours', 'module_num_video': '5 videos', 'module_num_quizz': None, 'module_num_reading': '2 readings'}, {'module_number': 2, 'module_name': 'Trick or Treaty', 'module_duration': None, 'module_num_video': '5 videos', 'module_num_quizz': None, 'module_num_reading': '2 readings'}, {'module_number': 3, 'module_name': 'New Rules, New Game', 'module_duration': None, 'module_num_video': '3 videos', 'module_num_quizz': None, 'module_num_reading': '2 readings'}, {'module_number': 4, 'module_name': '“Killing the Indian in the Child”', 'module_duration': None, 'module_num_video': '4 videos', 'module_num_quizz': None, 'module_num_reading': '2 readings'}, {'module_number': 5, 'module_name': 'A Modern Indian?', 'module_duration': None, 'module_num_video': '5 videos', 'module_num_quizz': None, 'module_num_reading': '2 readings'}, {'module_number': 6, 'module_name': 'Red Power', 'module_duration': None, 'module_num_video': '3 videos', 'module_num_quizz': None, 'module_num_reading': '2 readings'}, {'module_number': 7, 'module_name': 'Sovereign Lands', 'module_duration': None, 'module_num_video': '6 videos', 'module_num_quizz': None, 'module_num_reading': '2 readings'}, {'module_number': 8, 'module_name': 'Indigenous Women', 'module_duration': None, 'module_num_video': '3 videos', 'module_num_quizz': None, 'module_num_reading': '2 readings'}, {'module_number': 9, 'module_name': 'Indigenous in the City', 'module_duration': None, 'module_num_video': '3 videos', 'module_num_quizz': None, 'module_num_reading': '2 readings'}, {'module_number': 10, 'module_name': 'Current Social Movements', 'module_duration': None, 'module_num_video': '3 videos', 'module_num_quizz': None, 'module_num_reading': '2 readings'}, {'module_number': 11, 'module_name': '‘Living’ Traditions – Expressions in Pop Culture and Art', 'module_duration': None, 'module_num_video': '6 videos', 'module_num_quizz': None, 'module_num_reading': '2 readings'}]",Indigenous Canada,"569,152","21,442",49,"{'provider_link': 'https://www.coursera.org/ualberta',
 'provider_name': 'University of Alberta'}",https://www.coursera.org/learn/indigenous-canada/reviews,"Politics,Art,Human Rights and Allyship,History,Indigenous Studies",4.8,21,Dr. Paul L. Gareau,University of Alberta,Arts and Humanities,Coursera,"Indigenous Canada Indigenous Canada be a 12 - lesson Massive Open Online Course ( MOOC ) from the Faculty of Native Studies that explore the different history and contemporary perspective of indigenous people live in Canada . from an Indigenous perspective , this course explore complex experience indigenous people face today from a historical and critical perspective highlight national and local indigenous - settler relation . topic for the 12 lesson include the fur trade and other exchange relationship , land claim and environmental impact , legal system and right , political conflict and alliance , indigenous political activism , and contemporary Indigenous life , art and its expression .","indigenous, lesson, mooc, activism, fur, explore, claim, relation, massive, today, Arts and Humanities, History, Politics,Art,Human Rights and Allyship,History,Indigenous Studies"
