Categories,Descriptions,Duration,Instructor_full,Level,Link,Name,NumEnrolled,NumReviews,Price,Provider_full,Stars,InstructorName,ProviderName,MasterCategories,Modules,ReviewsURL,Skills,Source,string,Keywords
Healthcare & Medicine,"This course will help you identify the positions of organs within the abdomen and will introduce you to common anatomical terminology.,You will look at the anterior (front) abdominal wall, exploring how the ‘abs’ are considered in relation to health and beauty. You’ll then move on to look at the composition of the gastrointestinal tract. Focussing on common problems that can occur in this tract, you’ll hear from an abdominal surgeon about the work he does to treat and cure such problems.",4.0,"{'instructor_link': '/profiles/1552', 'instructor_name': 'James Pickering'}",Beginner,https://www.futurelearn.com/courses/anatomy-know-your-abdomen,Anatomy: Know Your Abdomen,"144,364",254.0,27.99,"{'provider_link': 'https://www.futurelearn.com/partners/university-of-leeds',
 'provider_name': 'University of Leeds'}",4.7,James Pickering,University of Leeds,Health & Safety,"[{""module_number"": None, ""module_name"": None, ""module_duration"": None}]",,"[Anatomy-locating,Glossary-referring,Muscles-exploring,Functions-discussing,Media-referring,GIT-positioning,Problems-exploring,Facts-researching]",Futurelearn,"Anatomy : know your Abdomen this course will help you identify the position of organ within the abdomen and will introduce you to common anatomical terminology . ,You will look at the anterior ( front ) abdominal wall , explore how the ' ab ' be consider in relation to health and beauty . you ’ll then move on to look at the composition of the gastrointestinal tract . focusse on common problem that can occur in this tract , you ’ll hear from an abdominal surgeon about the work he do to treat and cure such problem .","abdomen, composition, position, focusse, relation, know, treat, introduce, common, beauty, Health & Safety, Healthcare & Medicine, [Anatomy-locating,Glossary-referring,Muscles-exploring,Functions-discussing,Media-referring,GIT-positioning,Problems-exploring,Facts-researching]"
Healthcare & Medicine,"Germline genomic variation can increase the risk of developing cancer. It’s essential to use the best evidence available to decide if a genomic variant is likely to increase the chance of a person developing cancer. This allows us to offer at-risk individuals access to appropriate screening, prevention, and personalised treatments.,On this course, you will consider how variant interpretation in cancer susceptibility genes has different considerations when compared with variant interpretation in rare paediatric disease.,You’ll explore the guidelines produced by the UK Cancer Variant Interpretation Group (CanVIG-UK) for variant interpretation and how these can be applied to the American College of Medical Genetics (ACMG) framework in the classification of germline variants in cancer susceptibility genes.,This course will provide you with patient examples to explore the complexities of variant interpretation in cancer genomics. You’ll also hear from experts in the field about how the CanVIG-UK guidance was created.,You’ll be encouraged to apply your learning through case-based exercises that illustrate both the strengths and weaknesses of the tools and guidelines available for cancer variant interpretation.,Learn from Professor Kate Tatton-Brown and Dr Katie Snape – renowned consultant Clinical Geneticists leading on variant interpretation for rare disease and cancer.,This course is part of a series with Interpreting Genomic Variation: Fundamental Principles.",6.0,"{'instructor_link': '/profiles/864092', 'instructor_name': 'Katie Snape'}",Intermediate,https://www.futurelearn.com/courses/interpreting-genomic-variation-inherited-cancer-susceptibility,Interpreting Genomic Variation: Inherited Cancer Susceptibility,"1,200",7.0,27.99,"{'provider_link': 'https://www.futurelearn.com/partners/sgul',
 'provider_name': ""St George's, University of London""}",5.0,Katie Snape,"St George's, University of London",Health & Safety,"[{""module_number"": None, ""module_name"": None, ""module_duration"": None}]",,"[Infrastructure-describing,CanVIG-applying,ACMG-assessing,Impact-exploring,Complexities-assessing]",Futurelearn,"interpret Genomic Variation : inherit Cancer Susceptibility Germline genomic variation can increase the risk of develop cancer . it ’ essential to use the good evidence available to decide if a genomic variant be likely to increase the chance of a person develop cancer . this allow we to offer at - risk individual access to appropriate screening , prevention , and personalise treatment . ,On this course , you will consider how variant interpretation in cancer susceptibility gene have different consideration when compare with variant interpretation in rare paediatric disease . ,You’ll explore the guideline produce by the UK Cancer Variant Interpretation Group ( CanVIG - UK ) for variant interpretation and how these can be apply to the American College of Medical Genetics ( ACMG ) framework in the classification of germline variant in cancer susceptibility gene . ,this course will provide you with patient example to explore the complexity of variant interpretation in cancer genomic . you ’ll also hear from expert in the field about how the canvig - UK guidance be create . ,You’ll be encourage to apply your learning through case - base exercise that illustrate both the strength and weakness of the tool and guideline available for cancer variant interpretation . ,Learn from Professor Kate Tatton - Brown and Dr Katie Snape – renowned consultant Clinical Geneticists lead on variant interpretation for rare disease and cancer . ,this course be part of a series with Interpreting Genomic Variation : Fundamental Principles .","genomic, variation, susceptibility, guideline, paediatric, canvig, acmg, uk, exercise, tatton, Health & Safety, Healthcare & Medicine, [Infrastructure-describing,CanVIG-applying,ACMG-assessing,Impact-exploring,Complexities-assessing]"
Language,"Are you planning to visit, or work or study in the Netherlands soon? This free online course is perfect if you have little or no prior knowledge of Dutch, but would like to master the fundamentals in order to survive life in the Low Countries.,The course will run over three weeks, helping you to:,During the course, you will learn Dutch phrases, greetings, vocabulary, numbers, spelling and grammar. Being able to understand the language will make everyday activities, such as shopping or going out to a restaurant, much more enjoyable.,By the end of the course, you will be able to recognise familiar words and phrases about yourself and your family. You will be taught to use simple sentences to describe where you live and the people you know.,Finally, you will be able to write short texts such as an email or fill in forms with personal details. The main focus will be on receptive skills such as reading and listening.,The course will be taught in English by lecturers of Dutch and English from the University of Groningen in the Netherlands.,So, if you would like to get a taste of Dutch - and join the 23 million people who speak the language in the Netherlands, Flanders, Suriname and many other countries - join the course now.",9.0,"{'instructor_link': '/profiles/763019',
 'instructor_name': 'Birgit, Jeroen and Margriet  (Lead educators)'}",Beginner,https://www.futurelearn.com/courses/dutch,Introduction to Dutch,"286,423",435.0,27.99,"{'provider_link': 'https://www.futurelearn.com/partners/university-of-groningen',
 'provider_name': 'University of Groningen'}",4.8,"Birgit, Jeroen and Margriet  (Lead educators)",University of Groningen,Language,"[{""module_number"": None, ""module_name"": None, ""module_duration"": None}]",,"[Vocabulary-applying,Grammar-applying,Statements-producing,Concepts-discussing]",Futurelearn,"introduction to Dutch be you plan to visit , or work or study in the Netherlands soon ? this free online course be perfect if you have little or no prior knowledge of Dutch , but would like to master the fundamental in order to survive life in the Low Countries . ,The course will run over three week , help you to:,dure the course , you will learn dutch phrase , greeting , vocabulary , number , spelling and grammar . be able to understand the language will make everyday activity , such as shopping or go out to a restaurant , much more enjoyable . ,By the end of the course , you will be able to recognise familiar word and phrase about yourself and your family . you will be teach to use simple sentence to describe where you live and the people you know . ,finally , you will be able to write short text such as an email or fill in form with personal detail . the main focus will be on receptive skill such as reading and listening . ,The course will be teach in English by lecturer of Dutch and English from the University of Groningen in the Netherlands . ,So , if you would like to get a taste of Dutch - and join the 23 million people who speak the language in the Netherlands , Flanders , Suriname and many other country - join the course now .","dutch, study, speak, course, online, million, prior, run, everyday, like, Language, Language, [Vocabulary-applying,Grammar-applying,Statements-producing,Concepts-discussing]"
Nature & Environment,"Good transport systems and projects are critical to the development of sustainable cities.,On this course, you’ll consider the Avoid-Shift-Improve (ASI) framework – particularly the ‘Shift’ and ‘Improve’ dimensions – as key components of a sustainable urban mobility strategy.,As cities grow, transport and city planners have to identify how to reduce emissions in an urban landscape still dominated by cars.,Creating transport systems that encourage sustainable travel behaviours is crucial. You’ll learn how to improve public transport, walking and cycling and how to improve the environmental impact of vehicles.,You’ll examine some of the key components of sustainable urban mobility, including the instruments of traffic demand management and the different types of public transport, including metro, tramway, bus rapid transit, cable car, and other means of travel.,You’ll consider the role of active mobility and streetscape design and the potential of vehicle technologies to improve environmental performance.,Finally, you’ll come away able to identify how effective decision-making and participatory processes help us to develop innovative transport strategies.",15.0,"{'instructor_link': '/profiles/8297223', 'instructor_name': 'Robin Hickman'}",Advanced,https://www.futurelearn.com/courses/components-of-sustainable-urban-mobility,Transforming Urban Mobility: Components of Transport Planning for Sustainable Cities,"4,285",70.0,27.99,"{'provider_link': 'https://www.futurelearn.com/partners/ucl',
 'provider_name': 'UCL (University College London)'}",4.8,Robin Hickman,UCL (University College London),Nature & Environment,"[{""module_number"": None, ""module_name"": None, ""module_duration"": None}]",,"[Instruments-exploring,Transport-exploring,Mobility-debating,Technologies-summarising,Decision-making-assessing]",Futurelearn,"transform Urban Mobility : Components of Transport Planning for sustainable Cities good transport system and project be critical to the development of sustainable city . ,On this course , you ’ll consider the Avoid - shift - Improve ( ASI ) framework – particularly the ' shift ' and ' improve ' dimension – as key component of a sustainable urban mobility strategy . ,As city grow , transport and city planner have to identify how to reduce emission in an urban landscape still dominate by car . ,creating transport system that encourage sustainable travel behaviour be crucial . you ’ll learn how to improve public transport , walk and cycling and how to improve the environmental impact of vehicle . ,You’ll examine some of the key component of sustainable urban mobility , include the instrument of traffic demand management and the different type of public transport , include metro , tramway , bus rapid transit , cable car , and other mean of travel . ,You’ll consider the role of active mobility and streetscape design and the potential of vehicle technology to improve environmental performance . ,finally , you ’ll come away able to identify how effective decision - making and participatory process help we to develop innovative transport strategy .","mobility, tramway, innovative, reduce, emission, public, asi, dimension, particularly, instrument, Nature & Environment, Nature & Environment, [Instruments-exploring,Transport-exploring,Mobility-debating,Technologies-summarising,Decision-making-assessing]"
Education,"Listening is a vital literacy skill that helps us to make sense of the world. Despite this, it is rarely taught at schools and university students are often unprepared.,This two-week course will help you to understand the importance of active listening and show you strategies to help you improve your listening skills for academic success.,You’ll explore listening as a conscious, active and mentally engaging process and understand its value in an academic setting.,Being a university student provides a variety of listening situations from lectures, seminars and tutorials to a drink on campus. On this course, you will explore a model of academic listening, identify which listening skills are required for each academic situation, and learn about the main challenges of effective listening and how to tackle them.,The campus is a place where people from many cultural and linguistic backgrounds come into contact with each other and interact. This course will make you aware of the importance of intercultural awareness during your academic life and its impact on being a critical listener.,You’ll then focus on what effective listening is and how to practise it during university lectures. You will understand what listening skills are required for different types of lectures, and what lecturers from a range of disciplines expect students to do.,By the end of the course, you’ll have explored and practised different strategies that support effective listening so you’ll be more prepared to listen successfully whilst at university and later in life.",8.0,"{'instructor_link': '/profiles/6387205', 'instructor_name': 'Niamh Mullen'}",Beginner,https://www.futurelearn.com/courses/listening-skills-to-succeed-at-university,Listening Skills to Succeed at University,"1,220",149.0,27.99,"{'provider_link': 'https://www.futurelearn.com/partners/university-of-leeds',
 'provider_name': 'University of Leeds'}",4.7,Niamh Mullen,University of Leeds,Social Sciences,"[{""module_number"": None, ""module_name"": None, ""module_duration"": None}]",,"[Listening-identifying,Intercultural-identifying,Skills-applying]",Futurelearn,"listen Skills to succeed at University Listening be a vital literacy skill that help we to make sense of the world . despite this , it be rarely teach at school and university student be often unprepared . ,This two - week course will help you to understand the importance of active listening and show you strategy to help you improve your listening skill for academic success . ,You’ll explore listen as a conscious , active and mentally engaging process and understand its value in an academic setting . ,Being a university student provide a variety of listen situation from lecture , seminar and tutorial to a drink on campus . on this course , you will explore a model of academic listening , identify which listening skill be require for each academic situation , and learn about the main challenge of effective listening and how to tackle they . ,The campus be a place where people from many cultural and linguistic background come into contact with each other and interact . this course will make you aware of the importance of intercultural awareness during your academic life and its impact on be a critical listener . ,You’ll then focus on what effective listening be and how to practise it during university lecture . you will understand what listening skill be require for different type of lecture , and what lecturer from a range of discipline expect student to do . ,By the end of the course , you ’ll have explore and practise different strategy that support effective listening so you ’ll be more prepared to listen successfully whilst at university and later in life .","listening, lecturer, literacy, intercultural, tutorial, succeed, tackle, aware, require, rarely, Social Sciences, Education, [Listening-identifying,Intercultural-identifying,Skills-applying]"
Healthcare & Medicine,"According to the World Health Organization, more than 1.5 billion people (nearly 20% of the global population) currently live with hearing loss. For 430 million of these, the hearing impairment is disabling.,On this two-week course from the University of East Anglia, you’ll delve into how hearing works and the impacts of hearing impairment and deafness. As you explore the lived experience of hearing-impaired people, you’ll discover strategies for supporting them and their carers.,The course will start with an overview of hearing, deafness, and hearing impairment. You’ll learn about the anatomy of the ear, and be introduced to correct terminology for discussing hearing impairment.,Learning from videos and interviews with hearing-impaired people, you’ll also begin exploring some of the communication difficulties associated with deafness and hearing impairment.,Week 2 of the course will focus on the many impacts of hearing impairment, both for the hearing-impaired and for their families and carers.,You’ll consider some of the issues hearing-impaired people face in education, relationships, when using technology, and more. Then you’ll examine the broader impacts of these issues for families and support networks.,At the end of the two weeks, you’ll reflect on what we can all do to facilitate communication for hearing-impaired people. You’ll be encouraged to put your learning into practice to better support those living with deafness and hearing impairment.",4.0,"{'instructor_link': '/profiles/720131', 'instructor_name': 'Jane  Hibberd'}",Open,https://www.futurelearn.com/courses/living-with-deafness-and-hearing-impairment,Living with Deafness and Hearing Impairment,,254.0,27.99,"{'provider_link': 'https://www.futurelearn.com/partners/university-of-east-anglia',
 'provider_name': 'UEA (University of East Anglia)'}",4.7,Jane  Hibberd,UEA (University of East Anglia),Health & Safety,"[{""module_number"": None, ""module_name"": None, ""module_duration"": None}]",,"[Impact analyze,Aid Assumption,Experience compare,Carer Investigate]",Futurelearn,"live with Deafness and hear Impairment accord to the World Health Organization , more than 1.5 billion people ( nearly 20 % of the global population ) currently live with hear loss . for 430 million of these , the hearing impairment be disable . ,On this two - week course from the University of East Anglia , you ’ll delve into how hearing work and the impact of hear impairment and deafness . as you explore the live experience of hearing - impair people , you ’ll discover strategy for support they and their carer . ,The course will start with an overview of hearing , deafness , and hear impairment . you ’ll learn about the anatomy of the ear , and be introduce to correct terminology for discuss hearing impairment . ,learne from video and interview with hearing - impair people , you ’ll also begin explore some of the communication difficulty associate with deafness and hearing impairment . ,Week 2 of the course will focus on the many impact of hear impairment , both for the hearing - impair and for their family and carer . ,You’ll consider some of the issue hear - impair people face in education , relationship , when use technology , and more . then you ’ll examine the broad impact of these issue for family and support network . ,At the end of the two week , you ’ll reflect on what we can all do to facilitate communication for hearing - impair people . you ’ll be encourage to put your learning into practice to well support those live with deafness and hearing impairment .","deafness, interview, relationship, carer, facilitate, disable, population, terminology, 430, east, Health & Safety, Healthcare & Medicine, [Impact analyze,Aid Assumption,Experience compare,Carer Investigate]"
Healthcare & Medicine,"On this course, you’ll get a world-class introduction in how to diagnose and manage respiratory disease in low- and middle-income primary care settings.,Chronic respiratory diseases such as asthma and chronic obstructive pulmonary disease (COPD) place a huge burden on healthcare services worldwide, as recognised by the World Health Organization (WHO).,On the course, you’ll explore the physical, psychological, and social impact of chronic respiratory diseases on the individual, their family, and the wider community.,You’ll demonstrate an improved ability as a healthcare professional to diagnose and manage asthma, COPD, and other chronic respiratory diseases in children and adults.,By the end of the course, you’ll be able to assess how to adapt your advice to the local context – taking into account your access to staff, care, and treatment in terms of the availability of local resources.,The course is led by RESPIRE at the University of Edinburgh, and the International Primary Care Respiratory Group (IPCRG). RESPIRE is led by global experts in respiratory disease, while IPCRG is a world network of primary care respiratory clinicians that works to improve respiratory health and CRD best practice.,Under their guidance, you’ll come away with increased confidence in your diagnostic skills and your ability to manage the healthcare resources available to you.",15.0,"{'instructor_link': '/profiles/13032671', 'instructor_name': 'Siân Williams'}",Beginner,https://www.futurelearn.com/courses/chronic-respiratory-diseases-primary-care-settings,Chronic Respiratory Diseases (CRD) in Primary Care Settings,"3,879",51.0,27.99,"{'provider_link': 'https://www.futurelearn.com/partners/the-university-of-edinburgh',
 'provider_name': 'The University of Edinburgh'}",4.7,Siân Williams,The University of Edinburgh,Health & Safety,"[{""module_number"": None, ""module_name"": None, ""module_duration"": None}]",,"[Impact Assess,Diagnose Manage,Communicate Support,Adapt Advice]",Futurelearn,"Chronic Respiratory Diseases ( CRD ) in Primary Care setting on this course , you ’ll get a world - class introduction in how to diagnose and manage respiratory disease in low- and middle - income primary care setting . ,Chronic respiratory disease such as asthma and chronic obstructive pulmonary disease ( COPD ) place a huge burden on healthcare service worldwide , as recognise by the World Health Organization ( WHO).,On the course , you ’ll explore the physical , psychological , and social impact of chronic respiratory disease on the individual , their family , and the wide community . ,You’ll demonstrate an improve ability as a healthcare professional to diagnose and manage asthma , COPD , and other chronic respiratory disease in child and adult . ,By the end of the course , you ’ll be able to assess how to adapt your advice to the local context – take into account your access to staff , care , and treatment in term of the availability of local resource . ,The course be lead by RESPIRE at the University of Edinburgh , and the International Primary Care Respiratory Group ( IPCRG ) . RESPIRE be lead by global expert in respiratory disease , while IPCRG be a world network of primary care respiratory clinician that work to improve respiratory health and CRD good practice . ,Under their guidance , you ’ll come away with increase confidence in your diagnostic skill and your ability to manage the healthcare resource available to you .","respiratory, diagnose, ipcrg, professional, advice, edinburgh, group, respire, obstructive, income, Health & Safety, Healthcare & Medicine, [Impact Assess,Diagnose Manage,Communicate Support,Adapt Advice]"
Creative Arts & Media,"Whether you’re a screen practitioner, have live action screen production experience, or you have no prior knowledge and simply want to develop an understanding of 3D, this two-week course will arm you with a strong foundation of knowledge.,Delving into 3D within the context of a screen production environment, you’ll learn how 3D screen craft is part of the ‘post’ experience.,This knowledge can help you develop in your career and venture into virtual production, VFX, or 3D animation.,You’ll start by delving into visual effects and 3D animation as you explore a brief history of the use of 3D in a screen production context.,Unpacking 3D graphics and visualisation, 3D CGI, and 3D production, you’ll gain a solid introduction to the different components of 3D as well as common principles and terminology.,Next, you’ll delve deeper into the digital fundamentals of 3D, including its software and workspaces.,With this knowledge, you’ll start to understand the key techniques, concepts, and processes of 3D.,Throughout the course, you’ll be guided by Alexander Hoetzer, an experienced visual effects artist.,With his expertise and industry-focussed approach, you’ll finish the course with the skills and confidence to enter the world of 3D within a screen production context.",,"{'instructor_link': '/profiles/18546625',
 'instructor_name': 'Alexander Hoetzer'}",Beginner,https://www.futurelearn.com/courses/introduction-to-3d-for-screen-production,Introduction to 3D for Screen Production,,30.0,27.99,"{'provider_link': 'https://www.futurelearn.com/partners/aftrs',
 'provider_name': 'Australian Film Television and Radio School (AFTRS)'}",4.6,Alexander Hoetzer,Australian Film Television and Radio School (AFTRS),Arts and Humanities,"[{""module_number"": None, ""module_name"": None, ""module_duration"": None}]",,"[Definition, Create Workflows,Compare 2D 3D]",Futurelearn,"introduction to 3d for Screen Production whether you ’re a screen practitioner , have live action screen production experience , or you have no prior knowledge and simply want to develop an understanding of 3d , this two - week course will arm you with a strong foundation of knowledge . ,delve into 3d within the context of a screen production environment , you ’ll learn how 3d screen craft be part of the ' post ' experience . ,This knowledge can help you develop in your career and venture into virtual production , VFX , or 3d animation . ,You’ll start by delve into visual effect and 3d animation as you explore a brief history of the use of 3d in a screen production context . ,Unpacking 3d graphic and visualisation , 3d CGI , and 3d production , you ’ll gain a solid introduction to the different component of 3d as well as common principle and terminology . ,next , you ’ll delve deeply into the digital fundamental of 3d , include its software and workspace . ,With this knowledge , you ’ll start to understand the key technique , concept , and process of 3d.,throughout the course , you ’ll be guide by Alexander Hoetzer , an experienced visual effect artist . ,With his expertise and industry - focusse approach , you ’ll finish the course with the skill and confidence to enter the world of 3d within a screen production context .","3d, venture, workspace, hoetzer, experienced, concept, gain, brief, unpacking, week, Arts and Humanities, Creative Arts & Media, [Definition, Create Workflows,Compare 2D 3D]"
Business & Management,"Ethical behaviour brings significant benefits to businesses such as attracting employees, customers and investors. But failure to manage it properly can create huge challenges.,On this course, you’ll discover big data and tax avoidance.,You’ll examine the benefits and ethical challenges inherent to big data, including the issues of privacy and data security.,You’ll learn what tax avoidance is and discover how globalisation is increasing the likelihood of its occurrence.,You’ll also hear from experts on key ethical arguments for and against tax avoidance as you work through prominent case studies.",8.0,"{'instructor_link': '/profiles/7674324', 'instructor_name': 'Jim Baxter'}",Beginner,https://www.futurelearn.com/courses/business-ethics,Business Ethics: Exploring Big Data and Tax Avoidance,"8,695",40.0,27.99,"{'provider_link': 'https://www.futurelearn.com/partners/university-of-leeds',
 'provider_name': 'University of Leeds'}",4.9,Jim Baxter,University of Leeds,Business & Management,"[{""module_number"": None, ""module_name"": None, ""module_duration"": None}]",,[],Futurelearn,"business ethic : explore big Data and Tax Avoidance Ethical behaviour bring significant benefit to business such as attract employee , customer and investor . but failure to manage it properly can create huge challenge . ,On this course , you ’ll discover big datum and tax avoidance . ,You’ll examine the benefit and ethical challenge inherent to big datum , include the issue of privacy and datum security . ,You’ll learn what tax avoidance be and discover how globalisation be increase the likelihood of its occurrence . ,You’ll also hear from expert on key ethical argument for and against tax avoidance as you work through prominent case study .","ethical, tax, globalisation, datum, explore, significant, create, hear, include, likelihood, Business & Management, Business & Management, []"
Business & Management,"Experts from The Careers Service here at The University of Sheffield share their top tips to help you write exceptional applications, CVs (or résumés), covering letters and personal statements.,You’ll also hear from employers and admissions tutors to find out what they really look for in a candidate. And once you’ve written that perfect application, prepare for the next stage with our course: How to Succeed at: Interviews.",9.0,"{'instructor_link': '/profiles/8826040', 'instructor_name': 'Stephen Davie'}",Open,https://www.futurelearn.com/courses/writing-applications,How to Succeed at: Writing Applications,"274,605",401.0,27.99,"{'provider_link': 'https://www.futurelearn.com/partners/the-university-of-sheffield',
 'provider_name': 'The University of Sheffield'}",4.7,Stephen Davie,The University of Sheffield,Business & Management,"[{""module_number"": None, ""module_name"": None, ""module_duration"": None}]",,"[ Apply Techniques,Advert Analyze,Identify Strengths,Promote Writing,Strong Brand]",Futurelearn,"how to succeed at : write Applications Experts from the Careers Service here at the University of Sheffield share their top tip to help you write exceptional application , cv ( or résumés ) , cover letter and personal statement . ,You’ll also hear from employer and admission tutor to find out what they really look for in a candidate . and once you ’ve write that perfect application , prepare for the next stage with our course : how to succeed at : interview .","résumés, succeed, sheffield, application, university, candidate, prepare, exceptional, tip, ve, Business & Management, Business & Management, [ Apply Techniques,Advert Analyze,Identify Strengths,Promote Writing,Strong Brand]"
