Descriptions,Duration,Instructor_full,Level,Link,Modules,Name,NumReviews,Price,Stars,InstructorName,Categories,MasterCategories,ProviderName,Provider_full,NumEnrolled,ReviewsURL,Skills,Source,string,Keywords
"React is one of the most powerful and popular frontend JavaScript frameworks used today. Being able to rapidly build robust browser-based applications allows us to provide more value to our end-users. Using JavaScript, this course guides you through creating a few React applications and provides an understanding of the concepts at the core of React.",2,"{'instructor_link': 'https://www.pluralsight.com/authors/cloud-content',
 'instructor_name': 'A Cloud Guru'}",Beginner,https://www.pluralsight.com/cloud-guru/courses/expanding-your-js-skills-with-react,"[{'module_number': 0, 'module_name': '\nIntroduction ', 'module_duration': '1min'}, {'module_number': 1, 'module_name': '\nEnvironment Setup ', 'module_duration': '3mins'}, {'module_number': 2, 'module_name': '\nAn Overview of React ', 'module_duration': '7mins'}, {'module_number': 3, 'module_name': '\nOur First React Application ', 'module_duration': '107mins'}, {'module_number': 4, 'module_name': '\nConclusion ', 'module_duration': '0mins'}]",Expanding Your JS Skills with React,None,35,5,A Cloud Guru,Uncategorized,Uncategorized,,"{'provider_link': None, 'provider_name': None}",None,,"[ReactJS,JS,Apps,Value]",Pluralsight,"expand your js Skills with React React be one of the most powerful and popular frontend JavaScript framework use today . be able to rapidly build robust browser - base application allow we to provide more value to our end - user . use JavaScript , this course guide you through create a few React application and provide an understanding of the concept at the core of React .","react, javascript, application, skills, popular, robust, core, provide, end, today, Uncategorized, Uncategorized, [ReactJS,JS,Apps,Value]"
"Have you heard of Amazon Athena? In this course, we will be diving deep into what Amazon Athena is, its pros and cons, how to use it, and the powerful capabilities it offers for filtering and analyzing your data. Come along with me as we take a closer look at Amazon Athena.",3,"{'instructor_link': 'https://www.pluralsight.com/authors/beth-hord',
 'instructor_name': 'Beth Hord'}",Beginner,https://www.pluralsight.com/cloud-guru/courses/amazon-athena-deep-dive,"[{'module_number': 0, 'module_name': '\nIntroduction ', 'module_duration': '1min'}, {'module_number': 1, 'module_name': '\nGetting to Know Athena ', 'module_duration': '55mins'}, {'module_number': 2, 'module_name': '\nQuerying Athena ', 'module_duration': '72mins'}, {'module_number': 3, 'module_name': '\nOther AWS Services That Work with Athena ', 'module_duration': '45mins'}, {'module_number': 4, 'module_name': '\nConclusion ', 'module_duration': '2mins'}]",Amazon Athena Deep Dive,None,35,5,Beth Hord,Uncategorized,Uncategorized,,"{'provider_link': None, 'provider_name': None}",None,,"[AmazonAthena,Pros,Cons,Usage]",Pluralsight,"Amazon Athena Deep Dive have you hear of Amazon Athena ? in this course , we will be dive deep into what Amazon Athena be , its pro and con , how to use it , and the powerful capability it offer for filter and analyze your datum . come along with I as we take a close look at Amazon Athena .","athena, amazon, filter, datum, dive, analyze, capability, use, hear, offer, Uncategorized, Uncategorized, [AmazonAthena,Pros,Cons,Usage]"
"Hello, Cloud Gurus!
Throughout this course, we will be exploring a high level view of skills necessary to interact with the Google Cloud Platform (GCP) Services required to plan and create an organization on GCP.
This course focuses on how to configure and grant access to the various cloud resources for your company or team, during the setup of an organization on Google Cloud.
The services covered include interacting with Cloud Identity and Workspaces admin portals, granting permissions using Cloud Identity Access Management (IAM), and understanding GCP roles with IAM policies. Next, we review service accounts, billing accounts, and understanding cost management strategies when migrating to GCP.
",4,"{'instructor_link': None, 'instructor_name': None}",Beginner,https://www.pluralsight.com/cloud-guru/courses/establishing-an-organization-on-google-cloud-platform,"[{'module_number': 0, 'module_name': '\nIntroduction ', 'module_duration': '11mins'}, {'module_number': 1, 'module_name': '\nSetting Up an Organization on GCP ', 'module_duration': '179mins'}, {'module_number': 2, 'module_name': '\nConclusion ', 'module_duration': '2mins'}]",Establishing an Organization on Google Cloud Platform,None,35,5,,Business & Management,Business & Management,,"{'provider_link': None, 'provider_name': None}",None,,"[GCP,CloudIdentity,IAM,Billing]",Pluralsight,"establish an Organization on Google Cloud Platform Hello , Cloud Gurus ! 
 throughout this course , we will be explore a high level view of skill necessary to interact with the Google Cloud Platform ( GCP ) Services require to plan and create an organization on GCP . 
 this course focus on how to configure and grant access to the various cloud resource for your company or team , during the setup of an organization on Google Cloud . 
 the service cover include interact with Cloud Identity and Workspaces admin portal , grant permission use Cloud Identity Access Management ( IAM ) , and understand gcp role with IAM policy . next , we review service account , billing account , and understand cost management strategy when migrate to GCP . 
","gcp, organization, permission, migrate, configure, workspaces, cost, iam, interact, various, Business & Management, Business & Management, [GCP,CloudIdentity,IAM,Billing]"
"In this course, *SRE for Azure Deep Dive*, you will first be introduced to what Site Reliability Engineering is. Once we have that understanding, we can move on to learning about how it can be applied in an Azure environment. We will start off by learning about how to make your applications resilient and scalable. We will then learn about how to monitor your applications and infrastructure and make sure they are optimized to run as effectively as possible. Next we will learn about incident response and how to implement business continuity. Then we will discuss application deployment automation. When you have finished this course you will have a solid foundation of what it means to be a Site Reliability Engineer in an Azure environment. ",10,"{'instructor_link': 'https://www.pluralsight.com/authors/alex-potasnick-5c',
 'instructor_name': 'Alex Potasnick'}",Beginner,https://www.pluralsight.com/cloud-guru/courses/sre-for-azure-deep-dive,"[{'module_number': 0, 'module_name': '\nIntroduction ', 'module_duration': '1min'}, {'module_number': 1, 'module_name': '\nIntroduction to Site Reliability Engineering ', 'module_duration': '21mins'}, {'module_number': 2, 'module_name': '\nAutomation ', 'module_duration': '158mins'}, {'module_number': 3, 'module_name': '\nDesigning Resilient and Scalable Systems ', 'module_duration': '78mins'}, {'module_number': 4, 'module_name': '\nMonitoring and Performance ', 'module_duration': '66mins'}, {'module_number': 5, 'module_name': '\nIncident Response and Troubleshooting ', 'module_duration': '149mins'}, {'module_number': 6, 'module_name': '\nBusiness Continuity and Disaster Recovery ', 'module_duration': '85mins'}, {'module_number': 7, 'module_name': '\nConclusion ', 'module_duration': '7mins'}]",SRE for Azure Deep Dive,None,35,5,Alex Potasnick,Business & Management,Business & Management,,"{'provider_link': None, 'provider_name': None}",None,,"[SRE,Azure,Resilience,Automation]",Pluralsight,"SRE for Azure Deep Dive in this course , * SRE for Azure Deep Dive * , you will first be introduce to what Site Reliability Engineering be . once we have that understanding , we can move on to learn about how it can be apply in an Azure environment . we will start off by learn about how to make your application resilient and scalable . we will then learn about how to monitor your application and infrastructure and make sure they be optimize to run as effectively as possible . next we will learn about incident response and how to implement business continuity . then we will discuss application deployment automation . when you have finish this course you will have a solid foundation of what it mean to be a Site Reliability Engineer in an Azure environment .","azure, deployment, resilient, engineering, sre, continuity, monitor, run, introduce, sure, Business & Management, Business & Management, [SRE,Azure,Resilience,Automation]"
"In this course, *Creating Business Value Using Generative AI on AWS*, you’ll learn to design and build generative AI services using AWS technologies.
First, you’ll explore how generative AI is transforming businesses. Next, you’ll discover foundation models (FMs) and large language models (LLMs) and where they fit in the wider context of machine learning. You’ll also learn how to implement AI responsibly, so that you can avoid hallucinations, ensure data privacy, and control cost. Finally, you’ll learn how to build a generative AI application using AWS services.
When you’re finished with this course, you’ll have the skills and knowledge needed to design and build generative AI applications on AWS.
",2,"{'instructor_link': 'https://www.pluralsight.com/authors/faye-ellis-6',
 'instructor_name': 'Faye Ellis'}",Beginner,https://www.pluralsight.com/cloud-guru/courses/creating-business-value-using-generative-ai-on-aws,"[{'module_number': 0, 'module_name': '\nCreating Business Value Using Generative AI on AWS ', 'module_duration': '78mins'}]",Creating Business Value Using Generative AI on AWS,None,35,5,Faye Ellis,Data Science,Data Science,,"{'provider_link': None, 'provider_name': None}",None,,"[GenerativeAI,FMs,LLMs,AWS]",Pluralsight,"create Business Value use Generative AI on aw in this course , * create Business Value use Generative AI on AWS * , you ’ll learn to design and build generative AI service use AWS technology . 
 first , you ’ll explore how generative AI be transform business . next , you ’ll discover foundation model ( fm ) and large language model ( LLMs ) and where they fit in the wide context of machine learning . you ’ll also learn how to implement AI responsibly , so that you can avoid hallucination , ensure datum privacy , and control cost . finally , you ’ll learn how to build a generative AI application use AWS service . 
 when you ’re finish with this course , you ’ll have the skill and knowledge need to design and build generative AI application on AWS . 
","aws, generative, application, llms, value, explore, fm, foundation, responsibly, finally, Data Science, Data Science, [GenerativeAI,FMs,LLMs,AWS]"
"Welcome to the Overview of Google Cloud course.
In this course, we will go over basic services and design of the Google Cloud Platform.
You will learn:
* Fault Tolerance and High Availability within GCP
* What Is a VPC within GCP?
* Serverless Services
* Databases in GCP
* Deployment Tools
* Developing in Google Cloud
* Compute for VMs
* Smart Analytics
* Cloud Storage and More!
If you have some basic cloud knowledge and want to know more about the Google Cloud Service Provider then this is the course for you! ",2,"{'instructor_link': 'https://www.pluralsight.com/authors/broadus-palmer-56',
 'instructor_name': 'Broadus Palmer'}",Beginner,https://www.pluralsight.com/cloud-guru/courses/overview-of-google-cloud,"[{'module_number': 0, 'module_name': '\nIntroduction ', 'module_duration': '4mins'}, {'module_number': 1, 'module_name': '\nGoogle Cloud Platform (GCP) Core Services and Concepts ', 'module_duration': '68mins'}, {'module_number': 2, 'module_name': '\nConclusion ', 'module_duration': '2mins'}]",Overview of Google Cloud,None,35,5,Broadus Palmer,Data Science,Data Science,,"{'provider_link': None, 'provider_name': None}",None,,"[FaultTolerance,VPC,Serverless,Databases,Deployment,Developing,Compute,Analytics,Storage]",Pluralsight,"overview of Google Cloud Welcome to the overview of Google Cloud course . 
 in this course , we will go over basic service and design of the Google Cloud Platform . 
 you will learn : 
 * Fault Tolerance and high Availability within GCP 
 * what be a vpc within GCP ? 
 * Serverless Services 
 * database in GCP 
 * Deployment Tools 
 * develop in Google Cloud 
 * Compute for vm 
 * Smart Analytics 
 * Cloud Storage and More ! 
 if you have some basic cloud knowledge and want to know more about the Google Cloud Service Provider then this be the course for you !","gcp, overview, database, deployment, serverless, fault, develop, welcome, know, tolerance, Data Science, Data Science, [FaultTolerance,VPC,Serverless,Databases,Deployment,Developing,Compute,Analytics,Storage]"
"In this course, *Automate Security and Compliance Scanning in AWS*, you’ll learn how to use AWS services to automate security and compliance information gathering and how to automate responses to security and compliance events. First, you’ll explore AWS compliance tools such as AWS Artifact and AWS Audit Manager. Next, you’ll discover a range of services used to gather security and compliance information, such as AWS Security Hub, Amazon Guard Duty, Amazon Inspector, and Amazon Detective. Finally, you’ll learn how to integrate these services with products like Amazon EventBridge, Amazon CloudWatch, and AWS Systems Manager to automate responses to compliance and security events. When you’re finished with this course, you’ll have the skills and knowledge of security and compliance scanning and automation in AWS needed to be a knowledgeable, productive member of your security and compliance team.",7,"{'instructor_link': 'https://www.pluralsight.com/authors/michael-brown',
 'instructor_name': 'Michael Brown'}",Beginner,https://www.pluralsight.com/cloud-guru/courses/automate-security-and-compliance-scanning-in-aws,"[{'module_number': 0, 'module_name': '\nIntroduction ', 'module_duration': '6mins'}, {'module_number': 1, 'module_name': '\nIntroducing Security and Compliance in AWS ', 'module_duration': '36mins'}, {'module_number': 2, 'module_name': '\nWorking with AWS Config ', 'module_duration': '32mins'}, {'module_number': 3, 'module_name': '\nWorking with AWS Inspector ', 'module_duration': '36mins'}, {'module_number': 4, 'module_name': '\nWorking with Amazon GuardDuty ', 'module_duration': '33mins'}, {'module_number': 5, 'module_name': '\nWorking with Amazon Detective ', 'module_duration': '32mins'}, {'module_number': 6, 'module_name': '\nWorking with AWS Security Hub ', 'module_duration': '38mins'}, {'module_number': 7, 'module_name': '\nBringing It All Together ', 'module_duration': '157mins'}, {'module_number': 8, 'module_name': '\nConclusion ', 'module_duration': '8mins'}]",Automate Security and Compliance Scanning in AWS,None,35,5,Michael Brown,Information Technology,Information Technology,,"{'provider_link': None, 'provider_name': None}",None,,"[AWSCompliance,SecurityGathering,AutomationResponse]",Pluralsight,"Automate Security and Compliance Scanning in aw in this course , * Automate Security and Compliance Scanning in AWS * , you ’ll learn how to use aw service to automate security and compliance information gathering and how to automate response to security and compliance event . first , you ’ll explore AWS compliance tool such as AWS Artifact and AWS Audit Manager . next , you ’ll discover a range of service use to gather security and compliance information , such as AWS Security Hub , Amazon Guard Duty , Amazon Inspector , and Amazon Detective . finally , you ’ll learn how to integrate these service with product like Amazon EventBridge , Amazon CloudWatch , and AWS Systems Manager to automate response to compliance and security event . when you ’re finish with this course , you ’ll have the skill and knowledge of security and compliance scanning and automation in aws need to be a knowledgeable , productive member of your security and compliance team .","automation, aws, compliance, eventbridge, detective, artifact, integrate, member, like, range, Information Technology, Information Technology, [AWSCompliance,SecurityGathering,AutomationResponse]"
"In this course, **DP-100: Designing and Implementing a Data Science Solution on Azure**, you’ll learn to design, build, run, optimize, manage, and monitor machine learning experiments in Azure, with a focus on the objectives outlined in the Microsoft DP-100 certification exam study guide, including:
* Designing and preparing a machine learning solution
* Exploring data and training models
* Preparing a model for deployment
* Deploying and retraining a model
When you’re finished with the course lessons, labs, quizzes, and practice exams, you’ll have the skills and knowledge necessary to approach the DP-100 exam with confidence.
",6,"{'instructor_link': 'https://www.pluralsight.com/authors/amy-coughlin7lt',
 'instructor_name': 'Amy Coughlin'}",Beginner,https://www.pluralsight.com/cloud-guru/courses/dp-100-designing-and-implementing-a-data-science-solution-on-azure,"[{'module_number': 0, 'module_name': '\nIntroduction ', 'module_duration': '8mins'}, {'module_number': 1, 'module_name': '\nIntroduction ', 'module_duration': '13mins'}, {'module_number': 2, 'module_name': '\nSurvey Machine Learning in Azure ', 'module_duration': '47mins'}, {'module_number': 3, 'module_name': '\nDesign a Machine Learning Solution ', 'module_duration': '135mins'}, {'module_number': 4, 'module_name': '\nManage an Azure Machine Learning Workspace ', 'module_duration': '92mins'}, {'module_number': 5, 'module_name': '\nDesign and Prepare a Machine Learning Solution ', 'module_duration': '108mins'}, {'module_number': 6, 'module_name': '\nManage and Explore Data Assets ', 'module_duration': '144mins'}, {'module_number': 7, 'module_name': '\nManage Data in an Azure Machine Learning Workspace ', 'module_duration': '151mins'}, {'module_number': 8, 'module_name': '\nThree Ways to Build and Train a Machine Learning Model ', 'module_duration': '421mins'}, {'module_number': 9, 'module_name': '\nExplore Data by Using Data Assets and Datastores ', 'module_duration': '132mins'}, {'module_number': 10, 'module_name': '\nPrepare a Model for Deployment ', 'module_duration': '118mins'}, {'module_number': 11, 'module_name': '\nCreate Models by Using the Azure Machine Learning Designer ', 'module_duration': '74mins'}, {'module_number': 12, 'module_name': '\nDeploy and Retrain a Model ', 'module_duration': '199mins'}, {'module_number': 13, 'module_name': '\nUse Automated Machine Learning to Explore Optimal Models ', 'module_duration': '62mins'}, {'module_number': 14, 'module_name': '\nConclusion and Practice Exam ', 'module_duration': '8mins'}, {'module_number': 15, 'module_name': '\nFeature Selection in Azure Machine Learning ', 'module_duration': '67mins'}]",DP-100: Designing and Implementing a Data Science Solution on Azure,None,35,5,Amy Coughlin,Data Science,Data Science,,"{'provider_link': None, 'provider_name': None}",None,,"[DesignMLSolution,ExploreData,ModelDeployment]",Pluralsight,"DP-100 : Designing and implement a Data Science Solution on Azure in this course , * * dp-100 : designing and implement a Data Science Solution on Azure * * , you ’ll learn to design , build , run , optimize , manage , and monitor machine learn experiment in Azure , with a focus on the objective outline in the Microsoft DP-100 certification exam study guide , include : 
 * designing and prepare a machine learn solution 
 * explore datum and training model 
 * prepare a model for deployment 
 * deploy and retrain a model 
 when you ’re finish with the course lesson , lab , quiz , and practice exam , you ’ll have the skill and knowledge necessary to approach the DP-100 exam with confidence . 
","azure, dp, 100, deployment, prepare, retrain, monitor, optimize, outline, datum, Data Science, Data Science, [DesignMLSolution,ExploreData,ModelDeployment]"
"The performance-based Red Hat Certified Specialist in Security exam (EX415) tests your ability to perform a number of systems administration tasks focused on securing servers. This includes the use of firewalls, USB device restriction, encryption, auditing, compliance, automation, and more.
Interactive Diagram Link: https://www.lucidchart.com/documents/view/4df839b0-86ea-4473-9241-551b5d0f06f1/0
*This course is not approved or sponsored by Red Hat.*",8,"{'instructor_link': 'https://www.pluralsight.com/authors/cloud-content',
 'instructor_name': 'A Cloud Guru'}",Advanced,https://www.pluralsight.com/cloud-guru/courses/red-hat-certified-specialist-in-security-exam-ex415-prep-course,"[{'module_number': 0, 'module_name': '\nCourse Introduction ', 'module_duration': '10mins'}, {'module_number': 1, 'module_name': '\nSystem Auditing ', 'module_duration': '208mins'}, {'module_number': 2, 'module_name': '\nOpenSCAP ', 'module_duration': '201mins'}, {'module_number': 3, 'module_name': '\nAnsible ', 'module_duration': '177mins'}, {'module_number': 4, 'module_name': '\nAIDE (Advanced Intrusion Detection Environment) ', 'module_duration': '110mins'}, {'module_number': 5, 'module_name': '\nAIDE Scenarios ', 'module_duration': '5mins'}, {'module_number': 6, 'module_name': '\nSecuring SSH ', 'module_duration': '73mins'}, {'module_number': 7, 'module_name': '\nUSB Device Restrictions ', 'module_duration': '139mins'}, {'module_number': 8, 'module_name': '\nPluggable Authentication Module (PAM) Policies ', 'module_duration': '145mins'}, {'module_number': 9, 'module_name': '\nManaging sudo ', 'module_duration': '69mins'}, {'module_number': 10, 'module_name': '\nLinux Unified Key Setup (LUKS) ', 'module_duration': '226mins'}, {'module_number': 11, 'module_name': '\nNetwork-Bound Disk Encryption (NBDE) ', 'module_duration': '75mins'}, {'module_number': 12, 'module_name': '\nSecurity-Enhanced Linux ', 'module_duration': '310mins'}, {'module_number': 13, 'module_name': '\nNext Steps ', 'module_duration': '157mins'}]",Red Hat Certified Specialist in Security (Exam EX415) Prep Course,None,35,5,A Cloud Guru,Information Technology,Information Technology,,"{'provider_link': None, 'provider_name': None}",None,,"[Firewalls,USB,Encryption,Auditing,Compliance,Automation]",Pluralsight,"Red Hat Certified Specialist in Security ( Exam EX415 ) Prep course the performance - base Red Hat Certified Specialist in Security exam ( EX415 ) test your ability to perform a number of system administration task focus on secure server . this include the use of firewall , usb device restriction , encryption , auditing , compliance , automation , and more . 
 Interactive Diagram Link : https://www.lucidchart.com/documents/view/4df839b0-86ea-4473-9241-551b5d0f06f1/0 
 * this course be not approve or sponsor by Red Hat . *","security, exam, red, automation, www, usb, sponsor, lucidchart, 4473, base, Information Technology, Information Technology, [Firewalls,USB,Encryption,Auditing,Compliance,Automation]"
"*Update: This course has been updated on 21 September 2021 to cover changes to the Well-Architected Framework.*
Hello Cloud Gurus,
The Well-Architected Framework is a fantastic set of resources from AWS that can help you get the most out of the AWS Cloud. The challenge is understanding how the five pillars of the framework – Operational Excellence, Cost Optimization, Reliability, Performance Efficiency, and Security – work together.
In this course taught by AWS Community Hero Mark Nunnikhoven, you’ll learn the key points of the framework and how to apply them to your organization. Using real-world problems to pull the framework together, this course will arm you with the knowledge you need to take your building skills to the next level.
In this course, you'll learn:
* How to combine the five pillars of the framework to maximize the advantages of the AWS Cloud.
* Common AWS best practices drawn from real-world situations.
* How to integrate security into your applications without sacrificing performances or cost.
* How architecture choices impact deployment and maintenance costs.
* The principles of effective monitoring and automation in the AWS cloud.
This course focuses on the principles and concepts in the Well-Architected Framework. We’ll use easy to understand architectures to illustrates these points but we won’t be writing code or building anything in this course.
No prior coding experience is required but a comfort with development concepts is recommended. Feel confident in boosting your skills in building operationally excellent, cost-optimized, reliable, efficient and secure architectures in the cloud and keep being awesome, Cloud Gurus!",6,"{'instructor_link': 'https://www.pluralsight.com/authors/mark-nunnikhoven',
 'instructor_name': 'Mark Nunnikhoven'}",Beginner,https://www.pluralsight.com/cloud-guru/courses/mastering-the-aws-well-architected-framework,"[{'module_number': 0, 'module_name': '\nBeing Well-Architected ', 'module_duration': '10mins'}, {'module_number': 1, 'module_name': '\nThe Framework ', 'module_duration': '129mins'}, {'module_number': 2, 'module_name': '\nPutting the Framework to Work ', 'module_duration': '20mins'}, {'module_number': 3, 'module_name': '\nChange Is Constant ', 'module_duration': '11mins'}, {'module_number': 4, 'module_name': '\nFocusing on Solutions ', 'module_duration': '54mins'}, {'module_number': 5, 'module_name': '\nEvaluating Your Design ', 'module_duration': '51mins'}, {'module_number': 6, 'module_name': '\nNext Steps ', 'module_duration': '43mins'}]",Mastering the AWS Well-Architected Framework,None,35,5,Mark Nunnikhoven,Information Technology,Information Technology,,"{'provider_link': None, 'provider_name': None}",None,,"[FivePillars,RealWorld,SecurityPerformance,DeploymentCost,MonitoringAutomation]",Pluralsight,"master the aw well - architecte Framework * update : this course have be update on 21 September 2021 to cover change to the well - architecte Framework . * 
 hello Cloud Gurus , 
 the well - architecte Framework be a fantastic set of resource from AWS that can help you get the most out of the AWS Cloud . the challenge be understand how the five pillar of the framework – Operational Excellence , Cost Optimization , Reliability , Performance Efficiency , and security – work together . 
 in this course teach by AWS Community Hero Mark Nunnikhoven , you ’ll learn the key point of the framework and how to apply they to your organization . use real - world problem to pull the framework together , this course will arm you with the knowledge you need to take your building skill to the next level . 
 in this course , you will learn : 
 * how to combine the five pillar of the framework to maximize the advantage of the AWS Cloud . 
 * common aw good practice draw from real - world situation . 
 * how to integrate security into your application without sacrifice performance or cost . 
 * how architecture choice impact deployment and maintenance cost . 
 * the principle of effective monitoring and automation in the AWS cloud . 
 this course focus on the principle and concept in the well - architecte Framework . we ’ll use easy to understand architecture to illustrate these point but we will not be write code or build anything in this course . 
 no prior code experience be require but a comfort with development concept be recommend . feel confident in boost your skill in build operationally excellent , cost - optimize , reliable , efficient and secure architecture in the cloud and keep be awesome , Cloud Gurus !","aws, architecte, concept, practice, reliability, integrate, cost, require, good, nunnikhoven, Information Technology, Information Technology, [FivePillars,RealWorld,SecurityPerformance,DeploymentCost,MonitoringAutomation]"
